,theproduct,theCommenturl,who,star,thetime,location,SKU,comment,helpful,sku
10,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sunshine,4.0,2023-10-09 00:00:00,美國,,"Great unit for the price, comes with Windows 10 installed. But the CPU is not Windows 11 compatible. But it works great, very speedy (I don't do gaming on it) and the price was right. Couple it with a Norcent 24 Inch Computer Frameless Monitor, 75Hz Full HD 1920 x 1080P IPS LED Display, HDMI VGA Port, and it is a very good package.",2,樣式: Intel Core i7-4770 | 無光學
11,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,MIke,4.0,2023-10-08 00:00:00,美國,,"Nice looking machine; looks brand new. Plugged in and started right up. Set up was super easy. Only issue I had was microsoft dropbox trying to upload all my data from old computer. Had to delete that app to stop it, but that is MSFT, not the vendor. As long as this last 3-4 years will be well worth the ~$200",2,樣式: Intel Core i7-4770 | 無光學
12,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Hari P.,4.0,2023-09-09 00:00:00,美國,,"with 1 TB SSD, 32 gb ram and i7 processor, this is a very nice deal. However, the keyboard didn't work. So, I had to request for replacement. They mouse looks cheap. Except mouse and keyboard, the CPU is good. It is very quiet. Feels like CPU fan is not running at all as there is no noise. The set up is straight forward. There is speaker in CPU, but sound quality is not good. We need to buy a separate headphone.",6,樣式: Intel Core i7-4770 | 無光學
13,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Bhatez,4.0,2023-07-10 00:00:00,美國,,"The computer is refurbished with 1TB SSD and 32GB RAM. It came with USB keyboard, USB mouse, USB WiFi adapter and port display to HDMI adapter. It seems to run great even if it's very old. Dell website shows it was shipped in 2016 and probably manufactured earlier because it also says the originally installed OS was Windows 7. I hope it may work for a couple years more.
The setting wasn't easy as windows was locked and asking for Walmart email or security key. I have a laptop running on dual OS (Linux and Windows 11). I erased Windows with the Walmart credentials nonsense from the refurbished Dell drive by installing Linux using a bootable USB. Downloaded Windows 10 Pro and created a bootable USB using my laptop's Windows 11 (it's hard to create Windows 10 or 11 bootable USB using Linux. I get files larger than 4GB error).
I reinstalled Windows 10 Pro using the bootable USB and removed Linux. Trying to install Windows from USB while the desktop still has the Walmart locked Windows wasn't working. That's why I used linux to override that mess and go back to remove Linux. An option suggested on Dell website to do a clean reinstall or recovery (Support Assist OS Recovery) doesn't show up in the BIOS. The refurbished computer is now working fine but I think USTechno should have made sure Windows setting is straightforward.",30,樣式: Intel Core i7-4770 | 無光學
14,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Kosh Naranek,5.0,2023-09-14 00:00:00,美國,,This is the 3rd unit the first one was delivered to wrong address by Fed ex😡. The second one developed a bad power button issue would not turn on no matter how many hopeful pushes of the button. The 3rd one so far has performed flawlessly so far. For some reason on the 2nd one I had to change tv input before turning it on or there would be no video displayed. This third one is normal you can power it up then change the tv input and video is there. I am using the video output to HDMI cable I purchased from Amazon works great. The small video out to HDMI adapter that comes with computer is kinda cheesy and may come apart on you so be careful handling it.,8,樣式: Intel Core i7-4770 | 無光學
15,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,G. Maske,5.0,2023-08-19 00:00:00,美國,,"Right out of the box I couldn't find any defects. The computer looks brand new inside and out. No chips, no scratches and no dust or smugs inside or out. Setting it up was quick and easy. I ordered a DisplayPort to DVI adapter at the same time and the video feed to my old Acer DVI monitor is awesome. The HD audio output by-amped to my full sized Altec Lansing speakers is excellent also. I've spent a few days checking it out and everything functions correctly, and the system is very quick.
I bought this because my old computer finally up and died on me and like a bad boy it wasn't backed up. I pulled the hard drive from my old computer and set it up so I could access it through a USB port and I commenced chasing down pictures and saved files. Needless to say I spent a lot of time digging. I was able to find most of the stuff I really wanted. Through it all the little Dell just whizzed a long with no complaints. For the price it is simply awesome, and you just can't beat it. As far as I'm concerned, it's a real mega steal.
Bye the way, this computer has feet on both the long side and the end so you can use it either way. I find the DVD drive much easier to access with it on its side.",18,樣式: Intel Core i7-4770 | 無光學
16,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,S. Toure,4.0,2023-08-29 00:00:00,美國,,"I brought this Dell Optiplex 9020 for my FreeBSD and Linux experiments and it's was completely compatible. The graphic and sound (with external speakers) is excellent on both BSD and Linux. The Preinstall Windows installation ran fast and was problem free also. The form factor works well for a minimalistic setup but there's no room for expansion inside. Great deal, but the price seems to change while ordering...keep an eye on that.",4,樣式: Intel Core i7-4770 | 無光學
17,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Christopher Shreves,4.0,2023-09-13 00:00:00,美國,,"This machine is a good value when you consider what your getting and what your paying. My only issue is the fan for the power supply is noisy and makes a consistent squeak. Otherwise, everything looks nearly new and it performs as expected.",0,樣式: Intel Core i7-4770 | 無光學
18,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Xenohart,5.0,2023-09-06 00:00:00,美國,,"This little guy was impressive. They definitely put a few extra features in there to make sure that as a refab, it is definitely quality. Runs fast. Small case models have airflow issues - you have to know that. They also have power supply issues: if the power you're plugging into is not solid, has too low amperage, etc. - it won't turn on, at all. So, in an older building, this pc won't light up. In an office building - no problem. And, it is a little powerhouse. I haven't ""taxed"" it, but I didn't buy it to be taxed and was pleased with all the add-ons for the cost. Have already recommended it to multiple clients.",3,樣式: Intel Core i7-4770 | 無光學
19,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,GaiaSun,5.0,2023-10-08 00:00:00,美國,,"I’ll be purchasing my 3rd system since July. Two of my sons loved theirs so now I’m purchasing a third for my youngest. Great speed, everything works, computer isn’t loud, no error messages. They do a great job with refurbishing their products. Top tier! Worth every cent!!!",0,樣式: RGB 配備 22 吋 FHD LED
20,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Mark,5.0,2023-10-08 00:00:00,美國,,I’m not techy and it was easy to set up and get running. I’m starting a YouTube channel and needed my own computer in the house that my son wasn’t doing his homework on or my wife doing the billing or paying bills on.,0,樣式: Intel Core i7-4770 | 無光學
21,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,DreamXox,4.0,2023-09-19 00:00:00,美國,,Price is good and performance as expected,0,樣式: Intel Core i7-4770 | 無光學
22,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Derrick Langford,4.0,2023-09-05 00:00:00,美國,,"I bought this for my 12 year old son and this system is good for everything gaming, school or business.",1,樣式: Intel Core i7-4770 | 無光學
23,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Biased Operant,4.0,2023-08-18 00:00:00,美國,,"Purchased two. Satisfied for the most part. Everything except for the wifi card/connectivity driver on one of the devices is up to par or exceeded expectations. Need a replacement asap if wireless connectivity isn’t an option.

We primarily purchase Apple products and are currently being reminded why.",1,樣式: Intel Core i7-4770 | 無光學
24,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Robert Picardi,4.0,2023-09-13 00:00:00,美國,,VERY PLEASED WITH MY PUDCHASE OF DELL COMPUTER.,0,樣式: Intel Core i7-4770 | 無光學
25,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Cynthia,4.0,2023-09-07 00:00:00,美國,,For a home computer and gaming.,0,"樣式: RGB 黑色,配備 22 吋 FHD LED"
26,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,NomadFox,3.0,2023-10-03 00:00:00,美國,,"I think the price is OK but you don't get what you think.
1. the process I got was i7 4785T (not a 4770) speed up to 3.2g came at a speed of 2.2g
2. Bluetooth and wireless is a USB dongle (plenty of USB ports)
3. No HDMI port only 2-display and 1-VGA
4. 1T SSD has 98 days left (2604 days used, lifetime write 132.52g
I'm a little down about the speed and SSD but it was very clean, quite operation.
I call support for instruction to boot the speed up a little.
Call support twice and no e-mail was sent on how to increase speed...... It's a Dell! bleak!",2,樣式: Intel Core i7-4770 | 無光學
27,"Dell 戴爾 Optiplex 9020 小型桌上型電腦,搭載 Intel Core i7-4770 高達 3.9GHz,HD Graphics 4600 4K 支援,32GB RAM,1TB SSD,DisplayPort,HDMI,Wi-Fi,藍牙 - Windows 10 Pro(翻新)",https://www.amazon.com/-/zh_TW/Optiplex-9020-%E5%B0%8F%E5%9E%8B%E6%A1%8C%E4%B8%8A%E5%9E%8B%E9%9B%BB%E8%85%A6-Graphics-DisplayPort/product-reviews/B08BJDFZRF/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Jim,5.0,2023-10-02 00:00:00,美國,,Awesome Buy.. if your looking for a computer running an outdated operating system.. this is it. It’s great for equipment that needs an older operating system,0,樣式: Intel Core i7-4770 | 無光學
